[[0.05, 0.135, 0.12, 0.14], [41, 58]]
[[0.075, 0.12, 0.115, 0.19], [39, 61]]
[[0.13, 0.1, 0.085, 0.2], [44, 55]]
[[0.185, 0.115, 0.105, 0.2], [49, 50]]
[[0.175, 0.12, 0.085, 0.19], [51, 48]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.005, 0.03, 0.03, 0.025], [38, 61]]
[[0.045, 0.005, 0.015, 0.03], [52, 47]]
[[0.02, 0.04, 0.03, 0.01], [60, 40]]
[[0.035, 0.025, 0.005, 0.005], [85, 14]]
[[0.02, 0.055, 0.05, 0.005], [57, 42]]
[[0.04, 0.05, 0.015, 0.0], [85, 14]]
[[0.005, 0.1, 0.065, 0.01], [58, 41]]
[[0.07, 0.075, 0.04, 0.005], [76, 23]]
[[0.09, 0.1, 0.075, 0.015], [67, 32]]
[[0.17, 0.07, 0.08, 0.055], [64, 36]]
[[0.17, 0.07, 0.1, 0.055], [60, 39]]
[[0.165, 0.055, 0.12, 0.095], [50, 49]]
[[0.16, 0.06, 0.11, 0.08], [53, 46]]
[[0.155, 0.09, 0.11, 0.095], [54, 45]]
[[0.115, 0.085, 0.105, 0.105], [48, 51]]
[[0.155, 0.095, 0.145, 0.115], [49, 50]]
[[0.16, 0.11, 0.135, 0.155], [48, 51]]
[[0.15, 0.13, 0.15, 0.185], [45, 54]]
[[0.175, 0.185, 0.18, 0.2], [48, 51]]
[[0.16, 0.165, 0.175, 0.195], [46, 53]]
[[0.11, 0.13, 0.11, 0.155], [47, 52]]
[[0.12, 0.155, 0.15, 0.2], [44, 55]]
[[0.125, 0.105, 0.145, 0.175], [41, 58]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.015, 0.025, 0.025, 0.02], [47, 52]]
[[0.03, 0.03, 0.02, 0.01], [66, 33]]
[[0.005, 0.065, 0.03, 0.005], [66, 33]]
[[0.02, 0.1, 0.005, 0.04], [72, 27]]
[[0.0, 0.095, 0.005, 0.005], [90, 9]]
[[0.005, 0.11, 0.035, 0.0], [76, 23]]
[[0.005, 0.14, 0.045, 0.005], [74, 25]]
[[0.015, 0.14, 0.065, 0.025], [63, 36]]
[[0.02, 0.115, 0.04, 0.025], [67, 32]]
[[0.02, 0.095, 0.045, 0.0], [71, 28]]
[[0.01, 0.07, 0.06, 0.015], [51, 48]]
[[0.005, 0.07, 0.055, 0.01], [53, 46]]
[[0.03, 0.09, 0.03, 0.025], [68, 31]]
[[0.01, 0.145, 0.045, 0.01], [73, 26]]
[[0.015, 0.155, 0.055, 0.02], [69, 30]]
[[0.01, 0.155, 0.06, 0.005], [71, 28]]
[[0.02, 0.125, 0.04, 0.025], [69, 30]]
[[0.045, 0.115, 0.05, 0.005], [74, 25]]
[[0.035, 0.125, 0.03, 0.015], [78, 21]]
[[0.02, 0.125, 0.05, 0.005], [72, 27]]
[[0.01, 0.1, 0.05, 0.005], [66, 33]]
[[0.035, 0.075, 0.05, 0.0], [68, 31]]
[[0.03, 0.075, 0.055, 0.015], [60, 40]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.01, 0.03, 0.045, 0.015], [40, 60]]
[[0.04, 0.005, 0.005, 0.045], [47, 52]]
[[0.01, 0.06, 0.015, 0.015], [70, 30]]
[[0.01, 0.045, 0.04, 0.005], [54, 44]]
[[0.025, 0.065, 0.015, 0.005], [81, 18]]
[[0.01, 0.135, 0.025, 0.01], [80, 19]]
[[0.01, 0.165, 0.045, 0.015], [74, 25]]
[[0.015, 0.16, 0.065, 0.015], [68, 31]]
[[0.03, 0.145, 0.06, 0.02], [68, 31]]
[[0.02, 0.14, 0.1, 0.015], [58, 41]]
[[0.035, 0.14, 0.055, 0.03], [67, 32]]
[[0.03, 0.15, 0.065, 0.0], [73, 26]]
[[0.01, 0.155, 0.08, 0.03], [60, 40]]
[[0.025, 0.145, 0.065, 0.025], [65, 34]]
[[0.01, 0.175, 0.075, 0.015], [67, 32]]
[[0.025, 0.14, 0.07, 0.005], [68, 31]]
[[0.005, 0.15, 0.085, 0.015], [60, 39]]
[[0.035, 0.155, 0.09, 0.015], [64, 35]]
